City/Context,Region,Year,Discipline,Governance Type,Key Finding,Citation,Journal/Source,DOI,Open Access,Scholar Gateway
Organisational leadership (global),Global,2025,Business & Management,AI leadership governance,"Nested Complexity framework: AI introduces technological, ethical, and regulatory challenges within urban/organisational complexity. Adaptive iterative leadership required.",Goryunova & Yawson (2025),Journal of Leadership Studies 19(2),https://doi.org/10.1002/jls.70016,No,Yes
10 countries inc. China; UAE; S. Africa,Global,2025,Business & Management,AI governance & SDGs,"Econometric analysis 2000-2022: AI increases CO2 but governance effectiveness and environmental sustainability reduce it. Policy must integrate AI governance with climate action (SDG 7, 9, 13, 16).",AlHares (2025),Sustainable Development 34(S1),https://doi.org/10.1002/sd.70226,No,Yes
India (448 respondents PLS-SEM),Asia,2025,Business & Management,AI ESG governance,"Hofstede cultural dimensions impact AI-ESG application. Positive organisational attitudes increase AI-ESG effects; formal policies alone are too rigid. Cultural sensitivity essential.",Appolloni et al. (2025),Business Strategy and the Environment 35(2),https://doi.org/10.1002/bse.70248,No,Yes
Amsterdam,Europe,2024,Business & Management,Smart grid AI,"Smart grid AI reduces peak electricity demand by 25%. 2024: microgrid-level controls scaled. Public-private AI governance of urban energy infrastructure.",MDPI Smart Cities (2025),Smart Cities 9(7),https://www.mdpi.com/2413-8851/9/7/249,Yes,No
Global (ESG fintech),Global,2025,Business & Management,AI ESG governance,"ESG integral to fintech: AI-driven ESG scoring systems and blockchain supply-chain tracking enhance sustainability investment accountability and governance.",Aharonson et al. (2025),British Journal of Management 36(2),https://doi.org/10.1111/1467-8551.12910,Yes,Yes
Montreal,North America,2024,Strategy,AI integration strategy,"AI Integration Strategy (Sept 2024): 7-principle strategic framework. Cross-departmental governance committee across 50+ municipal services. Fail fast pilot approach.",OECD Smart Cities Issues Note (2025),OECD Programme on Smart Cities,https://www.oecd.org/content/dam/oecd/en/about/programmes/cfe/the-oecd-programme-on-smart-cities-and-inclusive-growth/Issues-Note-AI-for-advancing-smart-cities.pdf,Yes,No
Shenzhen,Asia,2025,Strategy,Urban AI strategy,"City AI strategic framework: technology systems + application scenarios + educational literacy + governance schemes. AI as complete industry and governance object.",Urban Informatics (Springer 2025),Urban Informatics,https://link.springer.com/article/10.1007/s44212-025-00077-9,No,No
Multiple (post-smart cities),Global,2024,Strategy,AI urbanism strategy,"Rise of AI Urbanism: strategic shift from smart city to AI urbanism. AI as urban stakeholder. Strategic governance challenges around autonomy, equity, housing.",Cugurullo et al. (2024),Urban Studies,https://journals.sagepub.com/doi/10.1177/00420980231203386,No,No
Multiple — AI localism,Global,2022,Strategy,AI localism,"AI Localism in Practice: cities govern AI through procurement standards, public registers, participatory strategy. Foundational strategic framing for city-level AI governance.",Verhulst et al. (2022),Data & Policy 4:e25,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4284013,Yes,No
Multiple — urban AI research agenda,Global,2024,Strategy,Urban AI research strategy,"Three research directions: (1) what is urban AI, (2) AI-city interdependencies, (3) governance challenges and opportunities. Strategic research agenda for urban AI.",Urban Geography (2024),Urban Geography,https://www.tandfonline.com/doi/full/10.1080/02723638.2024.2329401,No,No
Helsinki,Europe,2024,Urban Studies,Algorithmic transparency,"AI Register; MaaS governance; climate footprint calculator 2024; AI housing chatbot 2025. Equity gaps among older/rural populations identified.",OECD (2025); MDPI Smart Cities (2025),Smart Cities / OECD,https://www.oecd.org/content/dam/oecd/en/about/programmes/cfe/the-oecd-programme-on-smart-cities-and-inclusive-growth/Issues-Note-AI-for-advancing-smart-cities.pdf,Yes,No
Amsterdam,Europe,2022,Urban Studies,Algorithmic transparency,"Algorithm register; citizen-led AI ethics panels; digital sovereignty principles. Participatory model contrasted with Singapore's centralised approach.",South Florida Journal of Development (2025),South Florida Journal of Development,https://ojs.southfloridapublishing.com/ojs/index.php/jdev/article/view/5810,Yes,No
Barcelona,Europe,2023,Urban Studies,Algorithmic transparency,"Algorithm register aligned with Cities Coalition for Digital Rights schema (2023). Model for differential privacy and algorithmic accountability.",South Florida Journal of Development (2025); CIDOB GOUAI,South Florida Journal of Development / CIDOB,https://ojs.southfloridapublishing.com/ojs/index.php/jdev/article/view/5810,Yes,No
Vienna,Europe,2022,Urban Studies,Digital rights,"Digitale Menschenrechte (Digital Human Rights Charter): city-level rights framework; widely cited post-2022 as ethical governance model.",South Florida Journal of Development (2025),South Florida Journal of Development,https://ojs.southfloridapublishing.com/ojs/index.php/jdev/article/view/5810,Yes,No
New York City,North America,2023,Urban Studies,AI strategy,"AI Action Plan 2023; Local Law 3 on biometric identifiers; law requiring companies to disclose hiring algorithms.",NYC Mayor's Office (2023); WEF (2024),WEF / NYC Mayor's Office,https://www.weforum.org/stories/2024/06/cities-genai-governance/,No,No
Boston,North America,2024,Urban Studies,GenAI policy,"Responsible GenAI experimentation: piloted internal summarisation and resident-facing assistants with guardrails and problem-discovery iterative approach.",South Florida Journal of Development (2025),South Florida Journal of Development,https://ojs.southfloridapublishing.com/ojs/index.php/jdev/article/view/5810,Yes,No
Singapore,Asia,2023,Urban Studies,Ethics framework,"Model AI Governance Framework (PDPC); Virtual Singapore digital twin. Centralised governance: explainability, fairness, human involvement.",South Florida Journal of Development (2025); MDPI Smart Cities (2025),South Florida Journal of Development / Smart Cities,https://ojs.southfloridapublishing.com/ojs/index.php/jdev/article/view/5810,Yes,No
Dubai,Middle East,2024,Urban Studies,Ethics framework,"Expanded smart governance 2024: AI ethics panels, cross-cultural content testing for diverse expatriate population.",MDPI Smart Cities (2025),Smart Cities 9(7),https://www.mdpi.com/2413-8851/9/7/249,Yes,No
Global (bibliometric 4021 docs),Global,2023,Urban Studies,AI strategy,"NLP/bibliometric: 4,021 governance+AI/smart city Scopus documents 2000-2022. Post-2022 surge. Six research clusters: governance, privacy, AI, smart city, participation, policy.",Frontiers in Sustainable Cities (2023),Frontiers in Sustainable Cities,https://www.frontiersin.org/journals/sustainable-cities/articles/10.3389/frsc.2023.1199041/full,Yes,No
G7 economies,Global,2025,Financial Regulation & FinTech,FinTech & AI sustainable development,"FinTech exerts strong positive impact on AI adoption at early/middle stages. Human capital shows nonlinear effect. Policy: foster FinTech ecosystems, digital education, renewable-powered AI infrastructure (SDG 7, 9, 13).",Zhao & Aaron (2025),Sustainable Development 34(1),https://doi.org/10.1002/sd.70268,No,Yes
Global (264 finance review papers),Global,2024,Financial Regulation & FinTech,FinTech governance,"Bibliometric of 264 finance review papers: four clusters — corporate finance/markets, FinTech/AI innovations, social finance/inclusion, CSR/corporate governance.",Rabbani et al. (2024),Review of Financial Economics 42(3),https://doi.org/10.1002/rfe.1197,No,Yes
Global (FinTech sector),Global,2022,Financial Regulation & FinTech,AI ethics & RegTech,"Big data, AI, ML transformative symbiosis in FinTech. RegTech and AI ethics identified as key future challenges for financial technology governance.",Nguyen; Sermpinis & Stasinakis (2022),European Financial Management 29(2),https://doi.org/10.1111/eufm.12365,No,Yes
EU financial markets,Europe,2023,Financial Regulation & FinTech,RegTech / real-time regulation,"RegTech enabling near real-time financial market regulation (MiFID II & MiFIR). Regulatory software shapes reporting standards. Critique: democratic deficit and accountability concerns. EU AI Act referenced.",Hofmann; Zetzsche & Pflücke (2023),European Law Journal 28(4-6),https://doi.org/10.1111/eulj.12466,No,Yes
Smart city FinTech platforms (China),Asia,2022,Financial Regulation & FinTech,Robo-advisory regulation,"Risk assessment and regulation algorithms for robo-advisory FinTech platforms in smart cities. ML-based platform risk prediction model; accuracy of 88%. Black box regulatory system for robo-advisory algorithms.",Liu et al. (2022),Computational Intelligence and Neuroscience 2022,https://doi.org/10.1155/2022/9903364,Yes,Yes
Global BFSI sector,Global,2022,Financial Regulation & FinTech,Responsible AI in BFSI,"3.5-decade evolutionary review of AI in banking, financial services, insurance: RAI governance frameworks not yet incorporated by fintech or incumbent organisations. RAI critical for DeFi. Dominant AI areas: investments, securities, market making, lending, compliance.",Herrmann & Masawi (2022),Strategic Change 31(6),https://doi.org/10.1002/jsc.2525,No,Yes
Global banking/finance (157 articles SLR),Global,2025,Financial Regulation & FinTech,AI in banking & finance regulation,"SLR 157 articles: AI in banking — algorithmic trading, RegTech, customer service, explainability. Black-box AI raises regulatory concerns. Transparency imperative for compliance.",Singh et al. (2025),Journal of Economic Surveys 39(5),https://doi.org/10.1111/joes.12693,No,Yes
European stock markets (Athens SE / MiFID II),Europe,2024,Financial Regulation & FinTech,Algorithmic trading governance,"Algorithmic trading (AT) induces herding 14x more than non-AT under MiFID II. AT-herding increases with international volatility. Critical implications for stock market regulators.",Fu et al. (2024),International Journal of Finance & Economics 31(1),https://doi.org/10.1002/ijfe.3085,No,Yes
China (479 banks; matched loan data),Asia,2025,Financial Regulation & FinTech,Bank RegTech governance,"Bank RegTech improves corporate investment efficiency by ~18% per SD increase. RegTech strengthens governance capabilities, mitigates operational risk, reduces financing constraints.",Li et al. (2025),Managerial and Decision Economics 46(6),https://doi.org/10.1002/mde.4552,No,Yes
Global financial markets,Global,2024,Financial Regulation & FinTech,AI investment governance,"AI innovation reduces stock price crash risk (SPCR): strengthens internal governance, increases financial transparency, reduces bad-news hoarding by management. Corporate governance mechanisms mediate the effect.",Zhang et al. (2024),Journal of Financial Research 48(2),https://doi.org/10.1111/jfir.12424,Yes,Yes
Global financial markets,Global,2024,Financial Regulation & FinTech,AI investment governance,"AI enhances investment efficiency via complex system analysis and real-time decision making. Digital intelligence finance entering a new era.",Liu; Zhang & Zhang (2024),International Studies of Economics 19(4),https://doi.org/10.1002/ise3.97,Yes,Yes
China (securities market),Asia,2022,Financial Regulation & FinTech,AI securities regulation,"Multi-task deep neural network for insider trading identification in securities market. Accuracy gains over traditional models. AI as regulatory tool for market fairness and order.",Li et al. (2022),Computational Intelligence and Neuroscience 2022,https://doi.org/10.1155/2022/4874516,Yes,Yes
Global (top 10 economies — DeFi),Global,2025,Financial Regulation & FinTech,Smart ESG regulation,"Smart ESG framework for DeFi: BART model (Blockchain Automated Regulatory Tool), Dynamic Predictive Regulatory framework, Incentive Dynamic Governance Index. Multi-level regulatory system for DeFi markets.",Chien et al. (2025),Corporate Social Responsibility and Environmental Management 32(6),https://doi.org/10.1002/csr.70064,No,Yes
57 countries — FinTech vs banks,Global,2025,Financial Regulation & FinTech,FinTech regulatory governance,"FinTech substitution hypothesis confirmed across 10,000+ financial institutions. Traditional banks in countries with stronger regulatory frameworks benefit more from FinTech expansion.",Naceur et al. (2025),Journal of International Financial Management & Accounting 37(1),https://doi.org/10.1111/jifm.12242,No,Yes
AI tokens / energy sector (global markets),Global,2024,Financial Regulation & FinTech,AI asset governance,"AI tokens are net transmitters of market shocks; energy sector is net receiver. Dynamic connectedness increased during COVID-19 and Russia-Ukraine war. Governance implications for AI asset regulation.",Malik & Umar (2024),Review of Financial Economics 43(2),https://doi.org/10.1002/rfe.1224,No,Yes
Shanghai-Hong Kong (SHSC market),Asia,2024,Financial Regulation & FinTech,Stock market governance,"Shanghai-Hong Kong Stock Connect liberalisation: information environment and corporate governance mechanisms mediate effects on debt maturity structure. AI/digital tools enhance foreign investor governance monitoring.",Feng et al. (2024),Accounting & Finance 65(1),https://doi.org/10.1111/acfi.13320,No,Yes
